"gene","Delta_2RF","euclidean_dist","mean_SASA","Length","Total_Mutations_n","Essential","gene_ctrl","mean_SASA_ctrl","Length_ctrl","Total_Mutations_n_ctrl","Essential_ctrl"
"P09238",0.78,0.0866852750607164,54.6889190506723,476,4,"No","Q6NXE6",54.2801108727944,501,5,"No"
"O15116",0.779,0.0230048120398516,77.3595870033835,133,1,"No","Q9H112",77.6666035511304,138,1,"No"
"Q96EP1",0.779,0.0120676624914838,87.401625710256,664,3,"No","P17021",87.2217790772054,662,3,"No"
"P12268",0.779,0.0530228505879281,49.3120407345331,514,3,"No","Q16401",49.2541335039802,504,2,"No"
"Q13547",0.777,0.070341634468635,60.2297324643859,482,1,"No","O95376",61.2937491445963,493,1,"No"
"Q05513",0.774,0.0340245503862583,64.5795338566892,592,1,"No","O75529",64.0246887274024,589,1,"No"
"O43295",0.773,0.398589969059495,90.9145667203239,1099,7,"No","Q5T1B0",87.1869863845059,1012,12,"No"
"Q9Y6M1",0.773,0.143694033241429,72.3218880620968,599,1,"No","Q9NVH1",72.4004882915492,559,3,"No"
"O94788",0.772,0.161121397500996,44.1298345046911,518,8,"No","Q5R3I4",42.930030812209,469,9,"No"
"Q8NEX9",0.771,0.314907544816578,53.5429146594888,313,11,"No","E5RJM6",56.0915614561403,399,8,"No"
"P09104",0.769,0.319371626745106,38.009755372318,434,0,"No","P13489",41.6161877805206,461,5,"No"
"P25774",0.768,0.0670573320390291,51.2338972930997,331,4,"No","Q9UHP6",50.4398580582759,348,4,"No"
"P02778",0.767,0.0336236274597171,87.8341393622449,98,1,"No","Q9NU23",88.1466816045454,88,1,"No"
"Q8TC71",0.765,0.0601314267152528,87.7668697869331,538,5,"No","Q96JC4",87.6343785912214,524,4,"No"
"Q9P1W9",0.765,0.0432332533279811,57.2516405713826,311,0,"No","Q96BM1",56.5813631892114,317,0,"No"
"Q8N4T4",0.764,0.115107731996937,61.044923577403,335,4,"No","Q96CX6",61.5912403339084,371,3,"No"
"P07864",0.764,0.0464996947392533,50.9842822843253,332,1,"No","Q8IYX1",51.0642638535417,336,2,"No"
"P00338",0.763,0.0642460067840417,51.7135523076807,332,2,"No","Q9NXK8",52.4336364929816,326,1,"No"
"O00305",0.761,0.0378039114785869,91.0873447053654,520,2,"No","Q9HCL3",91.2567969855722,533,2,"No"
"Q8TBG4",0.761,0.0700126539598688,57.0077826078677,499,2,"No","Q9NVX7",57.1287141580039,518,1,"No"
"Q04206",0.761,0.0454425465207121,91.8252198979964,551,6,"No","Q9BWE0",91.9486079263316,567,6,"No"
"P04278",0.76,0.156974207745372,55.7778696547811,402,7,"No","Q8N4F0",55.7495059667249,458,7,"No"
"Q06830",0.759,0.0582746301937016,52.6923311149246,199,0,"No","Q03013",52.2941754411468,218,0,"No"
"Q9NP50",0.759,0.11171808322538,105.610059967557,221,0,"Yes","Q96NC0",107.177835459799,199,0,"Yes"
"P62993",0.757,0.0456145838625775,63.8976633208756,217,0,"No","Q9UBQ5",63.1314548133303,218,0,"No"
"Q92820",0.757,0.145839013329599,53.0321124242956,318,4,"No","P27216",50.6987468503797,316,3,"No"
"Q96D21",0.756,0.0933868063514778,65.7173048010752,266,0,"No","Q9BZ81",67.2305076474545,275,0,"No"
"O00482",0.755,0.0659816810680892,84.1232854403623,541,3,"No","Q96I34",84.6586298881061,528,4,"No"
"Q9Y5B8",0.755,0.0583868660593842,49.5486211611968,376,0,"No","Q3SXM0",49.2739297396162,396,0,"No"
"P23219",0.754,0.179867438127379,49.4973462399165,599,6,"No","Q5TAA0",52.1732192184815,569,6,"No"
"P49763",0.754,0.0413704270091514,105.869572443575,221,1,"No","Q15544",105.357493001611,211,1,"No"
"P34947",0.753,0.0719464529788043,57.7424587325017,590,7,"No","Q5TGP6",57.2398792471902,573,8,"No"
"P45983",0.752,0.0255042978446876,59.3485272205386,427,0,"No","Q7L1Q6",59.553022768401,419,0,"No"
"Q16775",0.752,0.138308303634568,52.6020407041948,308,3,"No","Q9H672",52.8506119662453,318,0,"No"
"P58004",0.751,0.0639765246059409,57.075774519575,480,6,"No","Q96ER3",57.7890310046835,474,5,"No"
"Q00534",0.749,0.0574035432363153,57.6332731508466,326,2,"No","Q9NWY4",57.8411378160983,346,2,"No"
"Q9UPU7",0.747,0.337653345973002,85.318867129269,963,8,"No","Q96IR2",88.7316508261134,970,2,"No"
"Q9HAB8",0.746,0.0474648680572878,55.3125673172026,311,2,"No","Q9NTX5",55.133449497772,307,1,"No"
"P04818",0.745,0.0769294427676323,55.1435380385176,313,2,"No","Q96DX5",56.0778166044558,294,2,"No"
"Q08431",0.745,0.131736008344696,56.1430061986202,387,7,"No","Q8WUA8",56.3906369177564,353,5,"No"
"O60496",0.743,0.0557842941597155,97.8840877284466,412,6,"No","Q8N4Y2",97.1732367454135,399,6,"No"
"P0DMV8",0.743,0.479679320228359,49.5372198463588,641,0,"NT","A0A140T8X8",57.5787931271406,626,0,"NT"
"P24385",0.742,0.0425390347708567,61.7467926387458,295,0,"No","A6NDU8",62.4611368607007,294,0,"No"
"Q9Y625",0.742,0.166179958363129,68.1802543419928,555,6,"No","Q1MX18",65.6229603685009,579,6,"No"
"P48637",0.74,0.436015357651456,42.7739996245823,474,9,"No","Q15048",48.4754075074848,493,3,"No"
"Q9NYB0",0.739,0.119006548289105,87.9780577904561,399,8,"No","Q7Z6M4",86.1641610395801,381,8,"No"
"P29375",0.739,0.94411040486106,77.6467429750331,1690,15,"No","P46939",69.8891098428343,1400,12,"No"
"P48506",0.739,0.143644744191053,42.6639154262449,637,1,"No","P52306",44.623850392827,607,1,"No"
"P49411",0.737,0.0597054710149153,55.9921710641991,452,5,"No","Q96NS5",56.653232040883,453,6,"No"
"P49448",0.737,0.116545160151889,54.882669020172,558,6,"No","Q6UY01",56.1013921639275,552,4,"No"
"P06746",0.736,0.0112815573263083,56.5407475724955,335,1,"No","Q9H9S4",56.705508788178,337,1,"No"
"Q02928",0.736,0.132526708401091,50.7022816936146,519,3,"No","Q13325",49.5370684987469,482,2,"No"
"Q9HB21",0.736,0.0682666080919613,94.9335284190248,404,3,"No","Q8N8V4",95.5446518336451,417,2,"No"
"Q9UBD9",0.735,0.0479694407934622,69.7893928306667,225,4,"No","Q6PF18",70.178053468125,240,4,"No"
"P35030",0.734,0.056068189252279,66.5282830194145,304,0,"No","O43255",66.5111868309259,324,0,"No"
"P45984",0.734,0.016345431030042,61.2876412764387,424,1,"No","O14498",61.4878094141963,428,1,"No"
"Q9NRW7",0.733,0.151431375255604,50.8010953737719,570,5,"No","Q8WXK1",53.203964877051,588,5,"No"
"P24928",0.73,1.86687468587822,65.8215299022244,1970,0,"NT","Q6ZUA9",59.4047284658437,1318,0,"NT"
"Q12841",0.73,0.0145746904146961,76.5894584024351,308,0,"No","O43765",76.5221235620128,313,0,"No"
"O00170",0.726,0.105739241199205,62.0055942524242,330,5,"No","Q13011",62.9416452599939,328,3,"No"
"P16619",0.726,0.0474920485527371,81.891659351828,93,2,"No","Q6YFQ2",82.0047425348864,88,1,"No"
"P11172",0.724,0.0511309050156586,50.4450854243292,480,7,"No","Q5T764",50.1451638817215,474,6,"No"
"P03973",0.723,0.0168351889238226,86.5856671641667,132,0,"No","Q7Z5A9",86.8650362766917,133,0,"No"
"P00325",0.721,0.364355121434607,41.9425495199147,375,5,"No","Q9UJ70",47.0742741747907,344,1,"No"
"O75044",0.72,0.435975338849655,88.0573144413165,1071,1,"No","A8MQ14",82.3567733732018,1090,7,"No"
"O75037",0.72,0.93715145326993,79.7777722437446,1637,7,"No","Q9BZF9",89.9541223320127,1416,15,"No"
"P15169",0.72,0.0787566211585528,55.1727289459651,458,5,"No","Q8N4B4",54.3874313183258,442,4,"No"
"Q96CG8",0.719,0.0544987529411713,83.3351900155556,243,1,"No","P52823",82.4376355553036,247,1,"No"
"Q9Y496",0.718,0.132414822161537,75.6990134185951,699,1,"No","Q8IUZ0",73.6941418149534,686,0,"No"
"A8MXV4",0.717,0.0807654092112872,50.22436478504,375,5,"No","Q8NA75",50.8464806430278,395,4,"No"
"P07711",0.716,0.137563236010427,50.8497826986667,333,3,"No","Q5VT79",49.1183247826911,327,1,"No"
"Q9Y6N5",0.716,0.0863388929974484,50.5945816546711,450,3,"No","Q08AI8",51.8278068211857,447,4,"No"
"P52564",0.715,0.0715940606220435,59.0596920154491,334,0,"No","Q8WXK4",58.8127078972816,309,0,"No"
"Q16555",0.715,0.075759811318003,53.275958601486,572,4,"No","P43652",53.2173151986144,599,4,"No"
"Q6UX04",0.714,0.0848334100871181,95.0515187442373,472,3,"No","Q96DY2",95.5907577339866,449,2,"No"
"O95750",0.713,0.0614579414305932,80.0966105231018,216,1,"No","Q96MN5",79.4991531405288,208,0,"No"
"Q92777",0.713,0.0575861298318151,85.330261777543,582,5,"No","A6NK75",85.7127633369231,572,4,"No"
"P09668",0.713,0.168764550486182,50.9180523596896,335,5,"No","Q9UJ72",48.1256729969136,324,5,"No"
"P15248",0.713,0.012719400170328,65.0228233772222,144,1,"No","Q96KX0",65.2149696586986,146,1,"No"
"Q03181",0.713,0.081565406967298,71.8988946502404,441,1,"No","Q92791",70.5392401360092,437,1,"No"
"P02746",0.712,0.0482647836491779,86.4798504764269,253,0,"No","Q6PID6",87.1723307893512,262,0,"No"
"P08754",0.712,0.318804929534874,53.3198419728701,354,10,"No","Q96CD0",48.5488583002193,374,7,"No"
"Q8WWY8",0.712,0.100788417889558,51.8940430568204,451,5,"No","Q8IZ02",53.2835135783879,464,6,"No"
"P11488",0.711,0.256287010828991,53.76511785096,350,8,"No","O15335",55.8054439280947,359,3,"No"
"P35626",0.711,0.0661550546987716,55.4129237023779,688,0,"No","Q9BSK4",54.7524349915127,669,0,"No"
"Q96LT7",0.71,0.10300043819852,53.9394969263825,481,3,"No","Q5VT98",55.4738523981095,475,2,"No"
"P30622",0.71,0.329308920441733,98.5698665605216,1438,12,"No","Q6TFL3",100.243689105819,1326,12,"No"
"P26927",0.709,0.174597043729927,55.5045326444866,711,0,"No","P0CG48",58.1746677260876,685,0,"No"
"P62826",0.709,0.0740890939515476,66.0035019541667,216,0,"Yes","Q99627",67.2058483446507,209,0,"Yes"
"P55263",0.709,0.0773949511718423,49.455643427326,362,5,"No","Q6P6B7",48.3955087613573,361,4,"No"
"P19087",0.708,0.254971498178344,54.5401526247175,354,8,"No","Q8IZ81",55.5433574526962,293,4,"No"
"P32298",0.707,0.0984361093087824,58.8810425320761,578,6,"No","A6NIV6",57.6756378988357,560,5,"No"
"Q00535",0.707,0.0254697660124726,51.7603786929452,292,0,"No","Q8N6D5",51.8194742402658,301,0,"No"
"P13500",0.706,0.0484279929721909,86.080138040404,99,0,"No","Q9HCY8",85.3000052500961,104,0,"No"
"P01584",0.706,0.0183485528410401,85.5463132472862,269,0,"No","P17041",85.7907519313553,273,0,"No"
"P55058",0.704,0.103335942039502,56.1213589699797,493,6,"No","Q5VWM3",56.6751193953653,479,4,"No"
"P13051",0.704,0.0713617047654388,67.5684944979553,313,5,"No","Q96DC8",66.7626370564026,303,6,"No"
"Q6PD74",0.704,0.0494236319602013,74.862272678781,315,5,"No","Q7Z614",74.5170029970886,316,4,"No"
"P20783",0.703,0.0687957051816146,96.3377958568093,257,1,"No","Q8WYH8",96.6941560595417,240,0,"No"
"P53350",0.702,0.11029837122324,59.6033485747761,603,0,"Yes","Q8WX92",58.097189164269,580,0,"Yes"
"Q8NFA0",0.702,0.797352282439061,70.5641909590087,1604,1,"No","Q8NDA2",61.4906165769543,1400,4,"No"
"O95983",0.702,0.0392491495038162,99.1484314368385,291,0,"No","Q9NPC3",99.1352132438628,277,0,"No"
"P31146",0.702,0.0847819399894239,53.4173150132234,461,4,"No","Q96MD2",54.3637678552494,445,3,"No"
"P11766",0.701,0.336593568909201,43.4350944316791,374,1,"No","P30039",47.0887337475208,288,3,"No"
"P49406",0.7,0.0470150623742974,81.9856439280685,292,2,"No","A6NJI9",81.9811177801951,287,3,"No"
"Q9Y4X5",0.7,0.0902269659175573,71.5083650333214,557,0,"Yes","O43242",72.2554914214157,534,1,"Yes"
"P07992",0.7,0.0320680613421409,84.9845142253199,297,1,"No","Q9H8T0",85.4699286534247,292,1,"No"
"Q8TB37",0.7,0.156566273200119,62.7113486875611,319,6,"No","Q8N815",63.9522684726848,330,3,"No"
"P58005",0.699,0.0785246657145295,54.1609895765081,492,0,"No","Q9NVN3",54.1177289842115,520,0,"No"
"A7E2Y1",0.698,3.00064911856138,81.3486583427927,1983,0,"NT","B5ME19",78.6473077694486,914,0,"NT"
"Q15717",0.698,0.087825280493308,77.9565790257669,326,0,"No","Q68CL5",77.1317278966,300,0,"No"
"Q92769",0.697,0.08926676991548,60.3620814841885,488,0,"No","Q6PEZ8",59.3745618614492,512,0,"No"
"Q13163",0.697,0.00280687273440229,61.8206125314554,448,0,"No","Q96N11",61.8181157906058,449,0,"No"
"Q8N8S7",0.696,0.115125379032629,111.238900158318,591,1,"No","Q96A19",111.354318521818,550,1,"No"
"Q8WWA0",0.696,0.150049614759917,50.1020106029776,313,3,"No","P13928",49.2036325237187,327,0,"No"
"Q96AC1",0.695,0.0543279534947708,59.9736409211794,680,0,"No","Q5VTQ0",60.8830590971701,682,0,"No"
"P35354",0.694,0.0778900276987685,48.6271741864834,604,0,"No","Q92624",49.214203953812,585,1,"No"
"P46926",0.694,0.0385988048603101,50.7013350474948,289,0,"No","Q15404",51.0199941919061,277,0,"No"
"K9M1U5",0.693,0.276617015615088,79.6834161446145,179,0,"NT","Q7Z3S9",75.8831673402966,236,0,"NT"
"Q3YBR2",0.693,0.0911368879012749,92.9753653995426,411,2,"No","Q9NX36",94.0594918227835,388,2,"No"
"Q9Y664",0.693,0.194012578857777,54.1516111759908,436,5,"No","Q5QJ74",55.2534645244104,424,1,"No"
"P51452",0.693,0.0606202347650682,51.2972270885946,185,0,"No","A6NGE7",51.6844983010405,173,1,"No"
"Q96GM5",0.693,0.0990238691832509,88.5544986894175,515,6,"No","P51786",89.1161080518775,506,4,"No"
"Q9NYY1",0.692,0.0531762441238115,59.7515056198295,176,2,"No","Q96Q77",60.480636294492,187,2,"No"
"Q9P104",0.692,0.0466265413687848,83.3843739586471,306,1,"No","O14562",83.2252552149385,309,0,"No"
"P58166",0.69,0.0395142704220792,69.520717477,350,1,"No","Q9HBI1",69.4426857642308,364,1,"No"
"P50479",0.689,0.049568048789819,98.5773234726242,330,1,"No","Q5HYJ3",99.295404662997,339,1,"No"
"P56704",0.689,0.0684875022116055,60.2393893381818,352,2,"No","Q8N336",60.432077493982,334,1,"No"
"P36873",0.689,0.00681503178563847,53.0098769562724,323,0,"No","Q9H0Q0",53.1245688230031,323,0,"No"
"P40933",0.689,0.00037056250395473,72.8628284687654,162,0,"No","Q9UMY4",72.8565921801235,162,0,"No"
"Q9Y6Y0",0.689,0.0866465194838787,60.9723945868224,642,1,"No","Q9Y5A7",60.2623253440423,615,1,"No"
"Q05932",0.688,0.103045646972887,54.8389463899762,587,4,"No","Q96Q27",56.4000327068484,587,5,"No"
"Q12929",0.688,0.0570029275656315,87.7163745976034,822,9,"No","Q8TF30",88.4540989039258,809,9,"No"
"P01374",0.687,0.0498170902704809,77.7193664716098,205,2,"No","P52798",77.4080902118408,201,3,"No"
"Q7Z6B7",0.687,0.492732404021473,89.3858286951945,1085,5,"No","Q9P0K7",95.9933850606429,980,6,"No"
"P22694",0.687,0.258135191275537,50.6123820054587,351,5,"No","Q6P5S2",52.5179393374121,330,0,"No"
"O43915",0.686,0.0509266865395885,90.8644786551977,354,0,"No","P53990",91.5800433871429,364,0,"No"
"P54646",0.685,0.0844952853446664,73.045942440779,552,2,"No","Q86XE3",72.0737862954075,530,2,"No"
"O60879",0.685,0.285799145644494,74.2337293036857,1101,6,"No","Q9Y4D1",77.0080953925288,1078,1,"No"
"P36575",0.684,0.258790516460478,54.7541299945,388,8,"No","Q9H0C1",56.6332996267123,365,3,"No"
"P14061",0.684,0.127249041940552,58.5001949510671,328,5,"No","Q8NI38",57.1571325153035,313,3,"No"
"Q96BR1",0.684,0.0703326663980525,56.0521075108065,496,0,"No","O00629",56.153581098572,521,0,"No"
"Q9H4P4",0.684,0.0473926527063802,67.4704690631546,317,1,"No","Q9HBI0",67.9176918110272,331,1,"No"
"P09132",0.683,0.0226049598273777,76.4332368834028,144,0,"Yes","P62277",76.2443181630464,151,0,"Yes"
"Q9Y234",0.683,0.287577294314619,53.7767884543592,373,7,"No","Q92600",56.2474801341003,299,4,"No"
"P53582",0.683,0.146030702238114,49.1959510542539,386,0,"No","Q9Y574",50.7705902830657,426,0,"No"
"P80162",0.683,0.0450884849596559,94.4752886017544,114,0,"No","P20671",94.5536868203077,130,0,"No"
"P14210",0.682,0.222492591666427,58.2016462052747,728,1,"No","Q9UBT7",61.6161343471526,734,3,"No"
"Q53GA4",0.682,0.0280630451566337,81.6494928642105,152,0,"No","O60676",81.6725804573944,142,0,"No"
"Q9H5V9",0.682,0.0185475969517656,91.8504310815315,222,0,"No","Q9BYJ0",92.1589882952466,223,0,"No"
"O15372",0.681,0.0479767871802882,74.3847112509091,352,0,"Yes","Q15814",74.4223673422139,346,1,"Yes"
"P08263",0.681,0.0476638581485139,55.8691245086486,222,0,"No","Q96BX8",55.7371466934562,217,1,"No"
"P61221",0.681,0.538510163645365,48.5791875656027,599,1,"Yes","Q9NYH9",57.1230589905628,597,5,"Yes"
"Q5T4W7",0.681,0.0111126181911276,101.257096303636,220,1,"No","Q32NC0",101.444113322,220,1,"No"
"O95718",0.68,0.0613121184015697,78.372631327321,433,0,"No","Q86TJ2",78.7164972199048,420,1,"No"
"Q12926",0.68,0.0416017723958397,83.0830729616992,359,0,"No","Q5T5M9",83.4208988288226,372,0,"No"
"Q9HBH5",0.68,0.207061222916963,52.1851591388095,336,3,"No","Q9H765",54.3610967287014,288,1,"No"
"Q9Y606",0.68,0.0594429801871905,69.2926481232319,427,14,"No","Q00889",68.7560299838851,435,13,"No"
"P05091",0.679,0.309356008602969,45.1509864269671,517,5,"No","Q9NS86",49.0025496228044,450,3,"No"
"Q969P5",0.679,0.070536973442761,75.2724807912676,355,1,"No","Q969T3",76.1020706995871,373,1,"No"
"P62753",0.678,0.0497610929140993,83.1991081462088,249,0,"Yes","Q9Y5K8",82.3669974612146,247,0,"Yes"
"Q8NEB9",0.678,0.253861556353032,60.4794881729718,887,1,"Yes","Q9NXF1",64.1885282595608,929,0,"Yes"
"P29622",0.677,0.161492422565,55.8166012133302,427,5,"No","Q6PIY5",57.1865758977318,440,2,"No"
"Q9H267",0.676,0.28562348281799,49.9287077014295,617,5,"No","Q5SRH9",54.1638541217651,613,2,"No"
"P62913",0.674,0.0658934033414785,70.3494142383483,178,0,"Yes","Q9Y248",69.2907794448649,185,0,"Yes"
"Q8N142",0.674,0.292543843306525,48.567511600919,457,5,"No","P09914",51.5671290493724,478,0,"No"
"Q8NEZ2",0.674,0.0485307695468918,89.3190217344584,397,5,"No","Q6U7Q0",89.5215971278607,402,4,"No"
"Q9H6V9",0.674,0.260179731596071,50.9862561574831,325,4,"No","Q8IY45",50.7466752680853,258,0,"No"
"Q9Y3F4",0.674,0.160519577400523,55.11136622876,350,0,"Yes","P61421",52.4103541740741,351,0,"Yes"
"P20839",0.674,0.321352015295107,48.7035029368327,514,0,"No","Q8N1E6",51.6599659562919,418,0,"No"
"Q2KHT3",0.674,0.39161624123493,75.3066581317645,1053,7,"No","O95466",80.7283235751236,1100,3,"No"
"Q96CX2",0.674,0.0145924574770325,83.5766779383385,325,0,"No","Q9Y3S2",83.5082619217063,320,0,"No"
"Q49AN0",0.673,0.240105587674931,61.9100162671737,593,0,"No","Q7Z5L7",59.3977079482741,613,4,"No"
"Q8TDY2",0.673,0.90583931124604,89.3451530412083,1594,10,"No","Q8IWJ2",102.998896117577,1684,17,"No"
"Q92979",0.673,0.0945712392618415,62.8388013854508,244,4,"No","Q8WV22",64.045490382406,266,4,"No"
"P49915",0.672,0.192485932007325,49.4573404447417,693,1,"No","Q9C0D3",47.4237095200645,744,0,"No"
"Q96JG6",0.672,0.174261231517777,71.2688565193693,964,1,"No","Q96A65",69.4675805165216,974,4,"No"
"Q16698",0.672,0.166709815359752,63.4924596542687,335,6,"No","Q5T9G4",65.1302122359412,340,3,"No"
"P06748",0.671,0.0708441886076534,95.7572153897279,294,0,"Yes","Q9ULR0",96.8713219121754,285,0,"Yes"
"P22570",0.671,0.160019286903583,53.6927415450306,491,0,"Yes","Q9UI12",56.3591741798054,483,0,"Yes"
"P50749",0.671,0.0392415814811,91.1472273737914,326,0,"No","Q8WXF8",91.8076337189264,326,0,"No"
"Q13228",0.671,0.842924891263691,38.043760407822,472,5,"No","O95522",51.7078614567619,483,10,"No"
"O95747",0.67,0.079280836832104,66.558238819222,527,1,"No","Q9BZZ5",65.4674734416145,524,0,"No"
"P41240",0.67,0.234594041412372,51.4988731637378,450,3,"No","Q96IG2",54.6638956465963,436,0,"No"
"Q13007",0.67,0.0464419072039935,72.9130009575048,206,3,"No","Q9Y6G5",73.6714656069802,202,3,"No"
"Q9BUE6",0.67,0.0364389169767499,77.1235726497674,129,1,"No","Q96HQ2",77.1201236851724,116,1,"No"
"P15289",0.669,0.884355099976701,40.0036153162249,507,0,"No","Q7Z7L7",48.50297607,766,0,"No"
"Q9P2D3",0.668,1.46514569334654,49.599782750902,2071,1,"No","Q7Z745",49.076669825995,1585,13,"No"
"Q9NYT0",0.668,0.0487878541837292,56.8340050847025,353,3,"No","Q9P2M1",56.9877780003055,347,2,"No"
"Q14397",0.667,0.658078857007153,41.3150196278496,625,0,"No","Q6WRX3",49.892541875054,759,4,"No"
"Q5HYK3",0.667,0.177228300486324,65.6105058757798,327,7,"No","Q49AM1",66.5271348078701,385,6,"No"
"Q16654",0.667,0.0576622847272417,57.8362841766083,411,1,"No","Q6ZQY2",58.2083337972194,392,1,"No"
"P07195",0.666,0.244527258956765,51.0219301567066,334,1,"No","Q9NUQ9",55.0396467089815,324,0,"No"
"Q8N9I9",0.666,0.0609155288319334,72.6114777625648,347,0,"No","Q9H6J7",73.3052494086103,331,0,"No"
"Q9BTT6",0.666,0.0911528392342857,64.7256458943321,524,1,"No","Q15173",65.1265576625352,497,2,"No"
"P01236",0.666,0.0431199856477667,68.8977904648018,227,2,"No","Q9HAT0",69.0588729379057,212,2,"No"
"Q92888",0.665,0.370650688645216,77.9754410626447,912,7,"No","Q8TCG1",71.9323288574652,905,9,"No"
"P21266",0.664,0.0498529754153807,55.0559853772889,225,1,"No","A9UHW6",54.2290182004955,222,1,"No"
"Q7Z624",0.664,0.103663425504519,59.5682880703901,323,2,"No","C9JJ37",60.0094243481993,291,1,"No"
"Q9NV35",0.664,0.00319126973413393,58.4156187163171,164,0,"No","P60604",58.4412946456364,165,0,"No"
"P09972",0.663,0.560041021298925,42.4687954437253,364,1,"No","Q8TCD6",49.8962845992116,241,1,"No"
"P13284",0.663,0.0310229551979362,74.33664372684,250,3,"No","P09326",74.74105518107,243,3,"No"
"P68371",0.663,0.715761158570544,43.4449170777213,445,4,"No","Q9NXR7",54.7329489391645,383,0,"No"
"Q96RQ9",0.663,0.0635534663186275,57.3179699190829,567,1,"No","Q8N584",57.2553566941784,583,0,"No"
"O94804",0.663,0.372439305702293,84.129800400812,968,4,"No","Q8IVF7",79.4234848305681,1028,0,"No"
"P15531",0.662,0.050069994789915,58.0733176592105,152,1,"No","Q86WC6",58.4349106842857,154,2,"No"
"O75629",0.662,0.0196623052593926,64.8296763711636,220,0,"No","Q92520",64.85120557163,227,0,"No"
"O00308",0.661,0.114980471232368,70.6621394896966,870,1,"No","Q6NUP7",72.5919928485796,873,1,"No"
"P25685",0.661,0.108892165844228,76.7284726041471,340,0,"No","Q96EQ0",76.0396138428289,304,0,"No"
"P38405",0.661,0.281180723601182,56.8711143178373,381,8,"No","O95521",58.4763094655823,474,9,"No"
"Q93096",0.661,0.0392924286152025,61.6232634248902,173,0,"No","P62253",60.9773213708,170,0,"No"
"Q96EY9",0.66,0.0996871573428364,60.5809305597436,351,0,"No","Q8WWX0",61.661289798845,329,1,"No"
"Q9NRA1",0.659,0.0448274478286847,80.7791682833913,345,2,"No","Q9GZV1",81.0408520258055,360,2,"No"
"Q9Y466",0.659,0.0982500790421885,74.1045318954545,385,0,"No","Q86UN3",74.0141613334476,420,0,"No"
"P63151",0.659,0.0859182225578057,55.6930354762953,447,0,"No","Q9NWX5",55.8200931226746,421,1,"No"
"Q9NS23",0.659,0.0898542289778308,78.0705765687791,344,1,"No","Q8NAA5",78.1420957272267,344,3,"No"
"P11309",0.658,0.0586736750636023,57.7173028376038,313,1,"No","P42126",58.0852558138675,302,2,"No"
"Q9NQ89",0.658,0.148981585089106,68.9919935851449,552,2,"No","Q96JB5",67.9882624350791,506,1,"No"
