"gene","Delta_2RF","euclidean_dist","s_SASA","s_Length","s_nmut","Essential","group","gene_ctrl","s_SASA_ctrl","s_Length_ctrl","s_nmut_ctrl","Essential_ctrl","group_ctrl"
"P07327",0.8,0.133152383318577,-1.60052416421947,-0.330952058031538,-0.329908833148469,"No",1,"O43813",-1.71543368936405,-0.263681275261722,-0.329908833148469,"No",0
"P11142",0.8,0.170528244007815,-1.1237903363572,0.428647197410969,-0.374785671735014,"No",1,"Q96JP0",-1.26682394817191,0.347361668230775,-0.329908833148469,"No",0
"Q9GZX6",0.799,0.0204094108993251,-0.235805279171426,-0.88033011731837,-0.285031994561924,"No",1,"Q9NP86",-0.247368547085537,-0.897147813010824,-0.285031994561924,"No",0
"Q9Y272",0.798,0.056317204576346,-0.204828369101828,-0.594429290546651,-0.374785671735014,"No",1,"Q9BR61",-0.261075777989848,-0.591626341264575,-0.374785671735014,"No",0
"P33176",0.796,0.15420944325878,0.909567011424182,1.31718211982896,-0.060647801629197,"No",1,"Q8TF20",0.932426998730597,1.17142875716102,-0.0157709630426516,"No",0
"P59910",0.795,0.143954843777888,-0.0160808642193989,-0.496326065674003,-0.060647801629197,"No",1,"Q15238",0.083070883482329,-0.443070029314565,0.0291058755438937,"No",0
"P27695",0.793,0.0655094692282987,-0.661406879117144,-0.490720167109851,-0.150401478802288,"No",1,"Q8WXH4",-0.597414087010328,-0.476705420699473,-0.150401478802288,"No",0
"P06733",0.792,0.227589219218733,-1.87022072985077,-0.165578050389073,-0.374785671735014,"No",1,"Q6ZV70",-1.64604005747305,-0.204819340338133,-0.374785671735014,"No",0
"O75791",0.789,0.0457647976902522,0.990097369039053,-0.457084775724943,-0.195278317388833,"No",1,"Q9UBM4",0.983093086963399,-0.451478877160792,-0.150401478802288,"No",0
"P16519",0.788,0.110677915914933,-1.25874820718071,0.406223603154364,-0.329908833148469,"No",1,"Q8IUR7",-1.2834752712874,0.504326828027012,-0.374785671735014,"No",0
"Q9BZE9",0.786,0.102824284716783,1.15260818960438,0.167972914177932,-0.060647801629197,"No",1,"Q9Y2P0",1.13011728824656,0.123125725664721,-0.150401478802288,"No",0
"P05177",0.784,0.0206942854643409,-1.24856495999838,0.0642637907411318,-0.240155155975378,"No",1,"Q9Y575",-1.26848548589927,0.0698696893052832,-0.240155155975378,"No",0
"P22392",0.784,0.017862202593781,-0.636843337193736,-0.956009747934413,-0.374785671735014,"No",1,"Q8NDC4",-0.630824749892942,-0.972827443626867,-0.374785671735014,"No",0
"P60568",0.78,0.0439464620195184,-0.00128286733315719,-0.953206798652337,-0.329908833148469,"No",1,"P07998",-0.0444173408077689,-0.94479795080611,-0.329908833148469,"No",0
"P09238",0.78,0.0866852750607164,-0.880043981867142,-0.0478541805418951,-0.195278317388833,"No",1,"Q6NXE6",-0.904335510167126,0.0222195515099968,-0.150401478802288,"No",0
"O15116",0.779,0.0230048120398516,0.46705522493321,-1.00926578429385,-0.329908833148469,"No",1,"Q9H112",0.485298258125135,-0.995251037883472,-0.329908833148469,"No",0
"Q96EP1",0.779,0.0120676624914838,1.06375676036673,0.479100284488331,-0.240155155975378,"No",1,"P17021",1.05307020903823,0.47349438592418,-0.240155155975378,"No",0
"P12268",0.779,0.0530228505879281,-1.19954001656015,0.0586578921769805,-0.240155155975378,"No",1,"Q16401",-1.20298088493282,0.0306283993562238,-0.285031994561924,"No",0
"Q13547",0.777,0.070341634468635,-0.550806864980619,-0.031036484849441,-0.329908833148469,"No",1,"O95376",-0.487582612879906,-0.000204042746608626,-0.329908833148469,"No",0
"Q05513",0.774,0.0340245503862583,-0.292340108838567,0.277287936178883,-0.329908833148469,"No",1,"O75529",-0.325309205078622,0.268879088332656,-0.329908833148469,"No",0
"O43295",0.773,0.398589969059495,1.27249697296523,1.69838322219125,-0.060647801629197,"No",1,"Q5T1B0",1.05100281478078,1.45452663465067,0.16373639130353,"No",0
"Q9Y6M1",0.773,0.143694033241429,0.167713350134382,0.296908581153413,-0.329908833148469,"No",1,"Q9NVH1",0.172383803910623,0.184790609870386,-0.240155155975378,"No",0
"O94788",0.772,0.161121397500996,-1.50746856618461,0.0698696893052832,-0.0157709630426516,"No",1,"Q5R3I4",-1.57876133117195,-0.0674748255164248,0.0291058755438937,"No",0
"Q8NEX9",0.771,0.314907544816578,-0.948139973108917,-0.50473491352023,0.118859552716984,"No",1,"E5RJM6",-0.796698467929406,-0.263681275261722,-0.0157709630426516,"No",0
"P09104",0.769,0.319371626745106,-1.87112585947531,-0.165578050389073,-0.374785671735014,"No",1,"P13489",-1.6568303545258,-0.0898984197730301,-0.150401478802288,"No",0
"P25774",0.768,0.0670573320390291,-1.08534261174485,-0.454281826442868,-0.195278317388833,"No",1,"Q9UHP6",-1.13252470737744,-0.406631688647581,-0.195278317388833,"No",0
"P02778",0.767,0.0336236274597171,1.08945687642595,-1.1073690091665,-0.329908833148469,"No",1,"Q9NU23",1.10802824836668,-1.13539850198726,-0.329908833148469,"No",0
"Q8TC71",0.765,0.0601314267152528,1.08545969417559,0.125928674946797,-0.150401478802288,"No",1,"Q96JC4",1.077587019889,0.0866873849977372,-0.195278317388833,"No",0
"Q9P1W9",0.765,0.0432332533279811,-0.727766151544715,-0.510340812084381,-0.374785671735014,"No",1,"Q96BM1",-0.767594273580752,-0.493523116391927,-0.374785671735014,"No",0
"Q8N4T4",0.764,0.115107731996937,-0.502367917172524,-0.443070029314565,-0.195278317388833,"No",1,"Q96CX6",-0.469905579896654,-0.342163855159841,-0.240155155975378,"No",0
"P07864",0.764,0.0464996947392533,-1.10017482493887,-0.451478877160792,-0.329908833148469,"No",1,"Q8IYX1",-1.09542229145927,-0.440267080032489,-0.285031994561924,"No",0
"P00338",0.763,0.0642460067840417,-1.05684133904183,-0.451478877160792,-0.285031994561924,"No",1,"Q9NXK8",-1.0140536789309,-0.468296572853246,-0.329908833148469,"No",0
"O00305",0.761,0.0378039114785869,1.28276350269817,0.0754755878694345,-0.285031994561924,"No",1,"Q9HCL3",1.29283241785908,0.111913928536418,-0.285031994561924,"No",0
"Q8TBG4",0.761,0.0700126539598688,-0.742256279048152,0.0166136529458454,-0.285031994561924,"No",1,"Q9NVX7",-0.735070483040491,0.0698696893052832,-0.329908833148469,"No",0
"Q04206",0.761,0.0454425465207121,1.32660831083458,0.16236701561378,-0.105524640215742,"No",1,"Q9BWE0",1.33394007165634,0.207214204126991,-0.105524640215742,"No",0
"P04278",0.76,0.156974207745372,-0.815338147080995,-0.255272427415495,-0.060647801629197,"No",1,"Q8N4F0",-0.817023527580685,-0.0983072676192572,-0.060647801629197,"No",0
"Q06830",0.759,0.0582746301937016,-0.998681951871517,-0.824271131676856,-0.374785671735014,"No",1,"Q03013",-1.02234050456383,-0.771015095317419,-0.374785671735014,"No",0
"Q9NP50",0.759,0.11171808322538,2.14570844331894,-0.762606247471192,-0.374785671735014,"Yes",1,"Q96NC0",2.23886622439736,-0.824271131676856,-0.374785671735014,"Yes",0
"P62993",0.757,0.0456145838625775,-0.33285710021487,-0.773818044599494,-0.374785671735014,"No",1,"Q9UBQ5",-0.378385484068003,-0.771015095317419,-0.374785671735014,"No",0
"Q92820",0.757,0.145839013329599,-0.978492024812728,-0.490720167109851,-0.195278317388833,"No",1,"P27216",-1.11714144265758,-0.496326065674003,-0.240155155975378,"No",0
"Q96D21",0.756,0.0933868063514778,-0.224733351953418,-0.636473529777786,-0.374785671735014,"No",1,"Q9BZ81",-0.134818297031456,-0.611246986239105,-0.374785671735014,"No",0
"O00482",0.755,0.0659816810680892,0.868956607746295,0.134337522793024,-0.240155155975378,"No",1,"Q96I34",0.900766966507004,0.0978991821260399,-0.195278317388833,"No",0
"Q9Y5B8",0.755,0.0583868660593842,-1.18548232290208,-0.328149108749462,-0.374785671735014,"No",1,"Q3SXM0",-1.20180458552345,-0.272090123107949,-0.374785671735014,"No",0
"P23219",0.754,0.179867438127379,-1.18852909708313,0.296908581153413,-0.105524640215742,"No",1,"Q5TAA0",-1.029527766622,0.212820102691142,-0.105524640215742,"No",0
"P49763",0.754,0.0413704270091514,2.16112876756028,-0.762606247471192,-0.329908833148469,"No",1,"Q15544",2.13070082377286,-0.790635740291948,-0.329908833148469,"No",0
"P34947",0.753,0.0719464529788043,-0.698601560677525,0.271682037614732,-0.060647801629197,"No",1,"Q5TGP6",-0.728465013639275,0.224031899819445,-0.0157709630426516,"No",0
"P45983",0.752,0.0255042978446876,-0.603168396078473,-0.185198695363603,-0.374785671735014,"No",1,"Q7L1Q6",-0.591017197406503,-0.207622289620208,-0.374785671735014,"No",0
"Q16775",0.752,0.138308303634568,-1.00404704040484,-0.518749659930608,-0.240155155975378,"No",1,"Q9H672",-0.989276847014855,-0.490720167109851,-0.374785671735014,"No",0
"P58004",0.751,0.0639765246059409,-0.738216175310548,-0.0366423834135924,-0.105524640215742,"No",1,"Q96ER3",-0.695834219589655,-0.0534600791060464,-0.150401478802288,"No",0
"Q00534",0.749,0.0574035432363153,-0.70508940703249,-0.468296572853246,-0.285031994561924,"No",1,"Q9NWY4",-0.692738014198963,-0.412237587211732,-0.285031994561924,"No",0
"Q9UPU7",0.747,0.337653345973002,0.939998499769535,1.31718211982896,-0.0157709630426516,"No",1,"Q96IR2",1.14278732895577,1.33680276480349,-0.285031994561924,"No",0
"Q9HAB8",0.746,0.0474648680572878,-0.842986578577668,-0.510340812084381,-0.285031994561924,"No",1,"Q9NTX5",-0.853629823539928,-0.521552609212684,-0.329908833148469,"No",0
"P04818",0.745,0.0769294427676323,-0.853030358836704,-0.50473491352023,-0.285031994561924,"No",1,"Q96DX5",-0.797515191937733,-0.557990949879667,-0.285031994561924,"No",0
"Q08431",0.745,0.131736008344696,-0.793641602911874,-0.29731666664663,-0.060647801629197,"No",1,"Q8WUA8",-0.778927296918615,-0.392616942237203,-0.150401478802288,"No",0
"O60496",0.743,0.0557842941597155,1.6866284066488,-0.227242934594738,-0.105524640215742,"No",1,"Q8N4Y2",1.6443893867225,-0.263681275261722,-0.105524640215742,"No",0
"P0DMV8",0.743,0.479679320228359,-1.1861597931119,0.414632451000591,-0.374785671735014,"NT",1,"A0A140T8X8",-0.708326629547235,0.372588211769456,-0.374785671735014,"NT",0
"P24385",0.742,0.0425390347708567,-0.460662606248964,-0.555188000597592,-0.374785671735014,"No",1,"A6NDU8",-0.418216016815203,-0.557990949879667,-0.374785671735014,"No",0
"Q9Y625",0.742,0.166179958363129,-0.0783840083928277,0.173578812742083,-0.105524640215742,"No",1,"Q1MX18",-0.230339331916248,0.240849595511899,-0.105524640215742,"No",0
"P48637",0.74,0.436015357651456,-1.58803276020644,-0.0534600791060464,0.0291058755438937,"No",1,"Q15048",-1.24925306246116,-0.000204042746608626,-0.240155155975378,"No",0
"Q9NYB0",0.739,0.119006548289105,1.09800856095909,-0.263681275261722,-0.0157709630426516,"No",1,"Q7Z6M4",0.990226166570904,-0.314134362339084,-0.0157709630426516,"No",0
"P29375",0.739,0.94411040486106,0.484118135582515,3.35492624789797,0.298366907063166,"No",1,"P46939",0.0231567973091365,2.54207095609603,0.16373639130353,"No",0
"P48506",0.739,0.143644744191053,-1.59457400268641,0.403420653872288,-0.329908833148469,"No",1,"P52306",-1.47811396523316,0.319332175410018,-0.329908833148469,"No",0
"P49411",0.737,0.0597054710149153,-0.802604280604482,-0.115124963311711,-0.150401478802288,"No",1,"Q96NS5",-0.763323800682361,-0.112322014029636,-0.105524640215742,"No",0
"P49448",0.737,0.116545160151889,-0.868531289308852,0.18198766058831,-0.105524640215742,"No",1,"Q6UY01",-0.796114323752885,0.165169964895856,-0.195278317388833,"No",0
"P06746",0.736,0.0112815573263083,-0.770007668068105,-0.443070029314565,-0.329908833148469,"No",1,"Q9H9S4",-0.760217497640823,-0.437464130750414,-0.329908833148469,"No",0
"Q02928",0.736,0.132526708401091,-1.11693140100694,0.0726726385873589,-0.240155155975378,"No",1,"Q13325",-1.18616878624119,-0.031036484849441,-0.285031994561924,"No",0
"Q9HB21",0.736,0.0682666080919613,1.51130511605894,-0.249666528851343,-0.240155155975378,"No",1,"Q8N8V4",1.5476182881635,-0.21322818818436,-0.285031994561924,"No",0
"Q9UBD9",0.735,0.0479694407934622,0.0172315767432637,-0.751394450342889,-0.195278317388833,"No",1,"Q6PF18",0.0403259309778501,-0.709350211111754,-0.195278317388833,"No",0
"P35030",0.734,0.056068189252279,-0.176544735855471,-0.529961457058911,-0.374785671735014,"No",1,"O43255",-0.177560597496617,-0.473902471417397,-0.374785671735014,"No",0
"P45984",0.734,0.016345431030042,-0.487945544592703,-0.19360754320983,-0.329908833148469,"No",1,"O14498",-0.476051482178555,-0.182395746081527,-0.329908833148469,"No",0
"Q9NRW7",0.733,0.151431375255604,-1.11105985675255,0.215623051973218,-0.150401478802288,"No",1,"Q8WXK1",-0.968280490539614,0.26607613905058,-0.150401478802288,"No",0
"P24928",0.73,1.86687468587822,-0.218540259126174,4.13975204687916,-0.374785671735014,"NT",1,"Q6ZUA9",-0.59982889796004,2.31222911496582,-0.374785671735014,"NT",0
"Q12841",0.73,0.0145746904146961,0.421293907726507,-0.518749659930608,-0.374785671735014,"No",1,"O43765",0.417292847399916,-0.50473491352023,-0.374785671735014,"No",0
"O00170",0.726,0.105739241199205,-0.445284521702358,-0.457084775724943,-0.150401478802288,"No",1,"Q13011",-0.389664035687035,-0.462690674289095,-0.240155155975378,"No",0
"P16619",0.726,0.0474920485527371,0.736352586549821,-1.12138375557688,-0.285031994561924,"No",1,"Q6YFQ2",0.743072029775676,-1.13539850198726,-0.329908833148469,"No",0
"P11172",0.724,0.0511309050156586,-1.13221409541493,-0.0366423834135924,-0.060647801629197,"No",1,"Q5T764",-1.15003554086118,-0.0534600791060464,-0.105524640215742,"No",0
"P03973",0.723,0.0168351889238226,1.01527221141072,-1.01206873357593,-0.374785671735014,"No",1,"Q7Z5A9",1.03187242410281,-1.00926578429385,-0.374785671735014,"No",0
"P00325",0.721,0.364355121434607,-1.63743782311981,-0.330952058031538,-0.150401478802288,"No",1,"Q9UJ70",-1.33250890675436,-0.417843485775884,-0.329908833148469,"No",0
"O75044",0.72,0.435975338849655,1.10271801953042,1.61990064229313,-0.329908833148469,"No",1,"A8MQ14",0.763989828230186,1.67315667865257,-0.060647801629197,"No",0
"O75037",0.72,0.93715145326993,0.610744657727235,3.20636993594796,-0.060647801629197,"No",1,"Q9BZF9",1.2154270235324,2.58691814460924,0.298366907063166,"No",0
"P15169",0.72,0.0787566211585528,-0.851295824664604,-0.0983072676192572,-0.150401478802288,"No",1,"Q8N4B4",-0.897958490868428,-0.143154456132468,-0.195278317388833,"No",0
"Q96CG8",0.719,0.0544987529411713,0.822127695433055,-0.700941363265527,-0.329908833148469,"No",1,"P52823",0.768794688042728,-0.689729566137224,-0.329908833148469,"No",0
"Q9Y496",0.718,0.132414822161537,0.368383347970072,0.57720350936098,-0.329908833148469,"No",1,"Q8IUZ0",0.249253159453536,0.540765168693996,-0.374785671735014,"No",0
"A8MXV4",0.717,0.0807654092112872,-1.14532939482875,-0.330952058031538,-0.150401478802288,"No",1,"Q8NA75",-1.10836304780353,-0.274893072390025,-0.195278317388833,"No",0
"P07711",0.716,0.137563236010427,-1.1081668384752,-0.448675927878716,-0.240155155975378,"No",1,"Q5VT79",-1.21105068777704,-0.46549362357117,-0.329908833148469,"No",0
"Q9Y6N5",0.716,0.0863388929974484,-1.1233309758821,-0.120730861875863,-0.240155155975378,"No",1,"Q08AI8",-1.05005229494145,-0.12913970972209,-0.195278317388833,"No",0
"P52564",0.715,0.0715940606220435,-0.620331087380012,-0.445872978596641,-0.374785671735014,"No",1,"Q8WXK4",-0.635006972112201,-0.515946710648532,-0.374785671735014,"No",0
"Q16555",0.715,0.075759811318003,-0.964002597656912,0.221228950537369,-0.195278317388833,"No",1,"P43652",-0.967487209652341,0.296908581153413,-0.195278317388833,"No",0
"Q6UX04",0.714,0.0848334100871181,1.51831614342855,-0.0590659776701977,-0.240155155975378,"No",1,"Q96DY2",1.55035791726964,-0.123533811157938,-0.285031994561924,"No",0
"O95750",0.713,0.0614579414305932,0.629690142444121,-0.77662099388157,-0.329908833148469,"No",1,"Q96MN5",0.594189010856824,-0.799044588138175,-0.374785671735014,"No",0
"Q92777",0.713,0.0575861298318151,0.940675573849738,0.249258443358126,-0.150401478802288,"No",1,"A6NK75",0.96340395345971,0.221228950537369,-0.195278317388833,"No",0
"P09668",0.713,0.168764550486182,-1.10411023077381,-0.443070029314565,-0.150401478802288,"No",1,"Q9UJ72",-1.27003441229893,-0.473902471417397,-0.150401478802288,"No",0
"P15248",0.713,0.012719400170328,-0.26599968681225,-0.978433342191018,-0.329908833148469,"No",1,"Q96KX0",-0.254582285970491,-0.972827443626867,-0.329908833148469,"No",0
"Q03181",0.713,0.081565406967298,0.142578930152486,-0.145957405414544,-0.329908833148469,"No",1,"Q92791",0.0617877721035094,-0.157169202542846,-0.329908833148469,"No",0
"P02746",0.712,0.0482647836491779,1.0089845459384,-0.67291187044477,-0.374785671735014,"No",1,"Q6PID6",1.05013197406937,-0.647685326906089,-0.374785671735014,"No",0
"P08754",0.712,0.318804929534874,-0.961395032017181,-0.389813992955127,0.073982714130439,"No",1,"Q96CD0",-1.24488859005841,-0.333755007313614,-0.060647801629197,"No",0
"Q8WWY8",0.712,0.100788417889558,-1.04611651410468,-0.117927912593787,-0.150401478802288,"No",1,"Q8IZ02",-0.963553678224403,-0.0814895719268031,-0.105524640215742,"No",0
"P11488",0.711,0.256287010828991,-0.934936579913634,-0.40102579008343,-0.0157709630426516,"No",1,"O15335",-0.813699673887955,-0.375799246544749,-0.240155155975378,"No",0
"P35626",0.711,0.0661550546987716,-0.837023366238755,0.546371067258147,-0.374785671735014,"No",1,"Q9BSK4",-0.876269841921034,0.49311503089871,-0.374785671735014,"No",0
"Q96LT7",0.71,0.10300043819852,-0.924574912817004,-0.0338394341315167,-0.240155155975378,"No",1,"Q5VT98",-0.833402961323354,-0.0506571298239707,-0.285031994561924,"No",0
"P30622",0.71,0.329308920441733,1.72737763038829,2.6485830288149,0.16373639130353,"No",1,"Q6TFL3",1.82683676532856,2.33465270922243,0.16373639130353,"No",0
"P26927",0.709,0.174597043729927,-0.831579930098812,0.610838900745888,-0.374785671735014,"No",1,"P0CG48",-0.672919547529698,0.53796221941192,-0.374785671735014,"No",0
"P62826",0.709,0.0740890939515476,-0.207727414646134,-0.77662099388157,-0.374785671735014,"Yes",1,"Q99627",-0.136283561633123,-0.7962416388561,-0.374785671735014,"Yes",0
"P55263",0.709,0.0773949511718423,-1.19100709313861,-0.367390398698522,-0.150401478802288,"No",1,"Q6P6B7",-1.25400067456316,-0.370193347980597,-0.195278317388833,"No",0
"P19087",0.708,0.254971498178344,-0.888883736161998,-0.389813992955127,-0.0157709630426516,"No",1,"Q8IZ81",-0.829272946094087,-0.560793899161743,-0.195278317388833,"No",0
"P32298",0.707,0.0984361093087824,-0.630946503646046,0.238046646229824,-0.105524640215742,"No",1,"A6NIV6",-0.70257207853862,0.187593559152461,-0.150401478802288,"No",0
"Q00535",0.707,0.0254697660124726,-1.0540588984636,-0.563596848443819,-0.374785671735014,"No",1,"Q8N6D5",-1.05054741988312,-0.538370304905138,-0.374785671735014,"No",0
"P13500",0.706,0.0484279929721909,0.985233489876101,-1.10456605988442,-0.374785671735014,"No",1,"Q9HCY8",0.938877720155738,-1.09055131347405,-0.374785671735014,"No",0
"P01584",0.706,0.0183485528410401,0.953513429537369,-0.628064681931559,-0.374785671735014,"No",1,"P17041",0.96803806366406,-0.616852884803257,-0.374785671735014,"No",0
"P55058",0.704,0.103335942039502,-0.794927888988309,-0.000204042746608626,-0.105524640215742,"No",1,"Q5VWM3",-0.762023246242432,-0.039445332695668,-0.195278317388833,"No",0
"P13051",0.704,0.0713617047654388,-0.114734997361226,-0.50473491352023,-0.150401478802288,"No",1,"Q96DC8",-0.162619335069061,-0.532764406340986,-0.105524640215742,"No",0
"Q6PD74",0.704,0.0494236319602013,0.318663913622029,-0.499129014956078,-0.150401478802288,"No",1,"Q7Z614",0.298147865514835,-0.496326065674003,-0.195278317388833,"No",0
"P20783",0.703,0.0687957051816146,1.59474718999875,-0.661700073316467,-0.329908833148469,"No",1,"Q8WYH8",1.61592224083702,-0.709350211111754,-0.374785671735014,"No",0
"P53350",0.702,0.11029837122324,-0.588026819972945,0.308120378281715,-0.374785671735014,"Yes",1,"Q8WX92",-0.677523351413535,0.243652544793975,-0.374785671735014,"Yes",0
"Q8NFA0",0.702,0.797352282439061,0.0632703589395812,3.11387260963946,-0.329908833148469,"No",1,"Q8NDA2",-0.475884679562393,2.54207095609603,-0.195278317388833,"No",0
"O95983",0.702,0.0392491495038162,1.76175616248954,-0.566399797725894,-0.374785671735014,"No",1,"Q9NPC3",1.76097073273026,-0.605641087674954,-0.374785671735014,"No",0
"P31146",0.702,0.0847819399894239,-0.95560314905995,-0.0898984197730301,-0.195278317388833,"No",1,"Q96MD2",-0.89936458231694,-0.134745608286241,-0.240155155975378,"No",0
"P11766",0.701,0.336593568909201,-1.54875027006908,-0.333755007313614,-0.329908833148469,"No",1,"P30039",-1.3316497137656,-0.574808645572121,-0.240155155975378,"No",0
"P49406",0.7,0.0470150623742974,0.741937183720453,-0.563596848443819,-0.285031994561924,"No",1,"A6NJI9",0.741668238393265,-0.577611594854197,-0.240155155975378,"No",0
"Q9Y4X5",0.7,0.0902269659175573,0.119373520489172,0.179184711306234,-0.374785671735014,"Yes",1,"O43242",0.163768037972327,0.114716877818494,-0.329908833148469,"Yes",0
"P07992",0.7,0.0320680613421409,0.920131130504513,-0.54958210203344,-0.329908833148469,"No",1,"Q9H8T0",0.94897462962123,-0.563596848443819,-0.329908833148469,"No",0
"Q8TB37",0.7,0.156566273200119,-0.403348340476827,-0.487917217827776,-0.105524640215742,"No",1,"Q8N815",-0.329612442543432,-0.457084775724943,-0.240155155975378,"No",0
"P58005",0.699,0.0785246657145295,-0.911413740242879,-0.0030069920286843,-0.374785671735014,"No",1,"Q9NVN3",-0.91398430012625,0.0754755878694345,-0.374785671735014,"No",0
"A7E2Y1",0.698,3.00064911856138,0.704087272175802,4.17619038754614,-0.374785671735014,"NT",1,"B5ME19",0.543572053910858,1.17983760500725,-0.374785671735014,"NT",0
"Q15717",0.698,0.087825280493308,0.502528704651422,-0.468296572853246,-0.374785671735014,"No",1,"Q68CL5",0.453515755225014,-0.541173254187213,-0.374785671735014,"No",0
"Q92769",0.697,0.08926676991548,-0.542942638837446,-0.014218789156987,-0.374785671735014,"No",1,"Q6PEZ8",-0.601621408394071,0.0530519936128291,-0.374785671735014,"No",0
"Q13163",0.697,0.00280687273440229,-0.456276201793541,-0.126336760440014,-0.374785671735014,"No",1,"Q96N11",-0.456424559028762,-0.123533811157938,-0.374785671735014,"No",0
"Q8N8S7",0.696,0.115125379032629,2.4801761428149,0.274484986896807,-0.329908833148469,"No",1,"Q96A19",2.48703434329869,0.159564066331705,-0.329908833148469,"No",0
"Q8WWA0",0.696,0.150049614759917,-1.15259972413482,-0.50473491352023,-0.240155155975378,"No",1,"P13928",-1.20598167126143,-0.46549362357117,-0.374785671735014,"No",0
"Q96AC1",0.695,0.0543279534947708,-0.566023916169465,0.523947473001542,-0.374785671735014,"No",1,"Q5VTQ0",-0.511985962542237,0.529553371565693,-0.374785671735014,"No",0
"P35354",0.694,0.0778900276987685,-1.24023503205622,0.310923327563791,-0.374785671735014,"No",1,"Q92624",-1.20535351310027,0.257667291204353,-0.329908833148469,"No",0
"P46926",0.694,0.0385988048603101,-1.11698765105832,-0.572005696290046,-0.374785671735014,"No",1,"Q15404",-1.09805281060406,-0.605641087674954,-0.374785671735014,"No",0
"K9M1U5",0.693,0.276617015615088,0.605137984533482,-0.88033011731837,-0.374785671735014,"NT",1,"Q7Z3S9",0.379325839932405,-0.720562008240056,-0.374785671735014,"NT",0
"Q3YBR2",0.693,0.0911368879012749,1.39495036833679,-0.230045883876814,-0.285031994561924,"No",1,"Q9NX36",1.45936954856851,-0.294513717364554,-0.285031994561924,"No",0
"Q9Y664",0.693,0.194012578857777,-0.911971008159478,-0.159972151824922,-0.150401478802288,"No",1,"Q5QJ74",-0.84649848768666,-0.19360754320983,-0.329908833148469,"No",0
"P51452",0.693,0.0606202347650682,-1.08157953262182,-0.863512421625916,-0.374785671735014,"No",1,"A6NGE7",-1.05856773851894,-0.897147813010824,-0.329908833148469,"No",0
"Q96GM5",0.693,0.0990238691832509,1.13226088556541,0.0614608414590562,-0.105524640215742,"No",1,"P51786",1.16563191496249,0.0362342979203751,-0.195278317388833,"No",0
"Q9NYY1",0.692,0.0531762441238115,-0.579223275309434,-0.888738965164597,-0.285031994561924,"No",1,"Q96Q77",-0.535898069561617,-0.857906523061764,-0.285031994561924,"No",0
"Q9P104",0.692,0.0466265413687848,0.825050222941467,-0.524355558494759,-0.329908833148469,"No",1,"O14562",0.815595330219116,-0.515946710648532,-0.374785671735014,"No",0
"P58166",0.69,0.0395142704220792,0.00126679103134016,-0.40102579008343,-0.329908833148469,"No",1,"Q9HBI1",-0.0033698812800328,-0.36178450013437,-0.329908833148469,"No",0
"P50479",0.689,0.049568048789819,1.72782072277532,-0.457084775724943,-0.329908833148469,"No",1,"Q5HYJ3",1.77048936421046,-0.431858232186262,-0.329908833148469,"No",0
"P56704",0.689,0.0684875022116055,-0.5502330500821,-0.395419891519278,-0.285031994561924,"No",1,"Q8N336",-0.538783450874009,-0.445872978596641,-0.329908833148469,"No",0
