"gene","Delta_2RF","euclidean_dist_50","mean_SASA","Length","Total_Mutations_n","Essential","gene_ctrl","mean_SASA_ctrl","Length_ctrl","Total_Mutations_n_ctrl","Essential_ctrl"
"P09238",0.78,0.0866852750607164,54.6889190506723,476,4,"No","Q6NXE6",54.2801108727944,501,5,"No"
"O15116",0.779,0.0230048120398516,77.3595870033835,133,1,"No","Q9H112",77.6666035511304,138,1,"No"
"Q96EP1",0.779,0.0120676624914838,87.401625710256,664,3,"No","P17021",87.2217790772054,662,3,"No"
"P12268",0.779,0.0530228505879281,49.3120407345331,514,3,"No","Q16401",49.2541335039802,504,2,"No"
"Q13547",0.777,0.070341634468635,60.2297324643859,482,1,"No","O95376",61.2937491445963,493,1,"No"
"Q05513",0.774,0.0340245503862583,64.5795338566892,592,1,"No","O75529",64.0246887274024,589,1,"No"
"O43295",0.773,0.398589969059495,90.9145667203239,1099,7,"No","Q5T1B0",87.1869863845059,1012,12,"No"
"Q9Y6M1",0.773,0.143694033241429,72.3218880620968,599,1,"No","Q9NVH1",72.4004882915492,559,3,"No"
"O94788",0.772,0.161121397500996,44.1298345046911,518,8,"No","Q5R3I4",42.930030812209,469,9,"No"
"Q8NEX9",0.771,0.314907544816578,53.5429146594888,313,11,"No","E5RJM6",56.0915614561403,399,8,"No"
"P09104",0.769,0.319371626745106,38.009755372318,434,0,"No","P13489",41.6161877805206,461,5,"No"
"P25774",0.768,0.0670573320390291,51.2338972930997,331,4,"No","Q9UHP6",50.4398580582759,348,4,"No"
"P02778",0.767,0.0336236274597171,87.8341393622449,98,1,"No","Q9NU23",88.1466816045454,88,1,"No"
"Q8TC71",0.765,0.0601314267152528,87.7668697869331,538,5,"No","Q96JC4",87.6343785912214,524,4,"No"
"Q9P1W9",0.765,0.0432332533279811,57.2516405713826,311,0,"No","Q96BM1",56.5813631892114,317,0,"No"
"Q8N4T4",0.764,0.115107731996937,61.044923577403,335,4,"No","Q96CX6",61.5912403339084,371,3,"No"
"P07864",0.764,0.0464996947392533,50.9842822843253,332,1,"No","Q8IYX1",51.0642638535417,336,2,"No"
"P00338",0.763,0.0642460067840417,51.7135523076807,332,2,"No","Q9NXK8",52.4336364929816,326,1,"No"
"O00305",0.761,0.0378039114785869,91.0873447053654,520,2,"No","Q9HCL3",91.2567969855722,533,2,"No"
"Q8TBG4",0.761,0.0700126539598688,57.0077826078677,499,2,"No","Q9NVX7",57.1287141580039,518,1,"No"
"Q04206",0.761,0.0454425465207121,91.8252198979964,551,6,"No","Q9BWE0",91.9486079263316,567,6,"No"
"P04278",0.76,0.156974207745372,55.7778696547811,402,7,"No","Q8N4F0",55.7495059667249,458,7,"No"
"Q06830",0.759,0.0582746301937016,52.6923311149246,199,0,"No","Q03013",52.2941754411468,218,0,"No"
"Q9NP50",0.759,0.11171808322538,105.610059967557,221,0,"Yes","Q96NC0",107.177835459799,199,0,"Yes"
"P62993",0.757,0.0456145838625775,63.8976633208756,217,0,"No","Q9UBQ5",63.1314548133303,218,0,"No"
