"gene","Delta_2RF","euclidean_dist_50","s_SASA","s_Length","s_nmut","Essential","group","gene_ctrl","s_SASA_ctrl","s_Length_ctrl","s_nmut_ctrl","Essential_ctrl","group_ctrl"
"P07327",0.8,0.133152383318577,-1.60052416421947,-0.330952058031538,-0.329908833148469,"No",1,"O43813",-1.71543368936405,-0.263681275261722,-0.329908833148469,"No",0
"P11142",0.8,0.170528244007815,-1.1237903363572,0.428647197410969,-0.374785671735014,"No",1,"Q96JP0",-1.26682394817191,0.347361668230775,-0.329908833148469,"No",0
"Q9GZX6",0.799,0.0204094108993251,-0.235805279171426,-0.88033011731837,-0.285031994561924,"No",1,"Q9NP86",-0.247368547085537,-0.897147813010824,-0.285031994561924,"No",0
"Q9Y272",0.798,0.056317204576346,-0.204828369101828,-0.594429290546651,-0.374785671735014,"No",1,"Q9BR61",-0.261075777989848,-0.591626341264575,-0.374785671735014,"No",0
"P33176",0.796,0.15420944325878,0.909567011424182,1.31718211982896,-0.060647801629197,"No",1,"Q8TF20",0.932426998730597,1.17142875716102,-0.0157709630426516,"No",0
"P59910",0.795,0.143954843777888,-0.0160808642193989,-0.496326065674003,-0.060647801629197,"No",1,"Q15238",0.083070883482329,-0.443070029314565,0.0291058755438937,"No",0
"P27695",0.793,0.0655094692282987,-0.661406879117144,-0.490720167109851,-0.150401478802288,"No",1,"Q8WXH4",-0.597414087010328,-0.476705420699473,-0.150401478802288,"No",0
"P06733",0.792,0.227589219218733,-1.87022072985077,-0.165578050389073,-0.374785671735014,"No",1,"Q6ZV70",-1.64604005747305,-0.204819340338133,-0.374785671735014,"No",0
"O75791",0.789,0.0457647976902522,0.990097369039053,-0.457084775724943,-0.195278317388833,"No",1,"Q9UBM4",0.983093086963399,-0.451478877160792,-0.150401478802288,"No",0
"P16519",0.788,0.110677915914933,-1.25874820718071,0.406223603154364,-0.329908833148469,"No",1,"Q8IUR7",-1.2834752712874,0.504326828027012,-0.374785671735014,"No",0
"Q9BZE9",0.786,0.102824284716783,1.15260818960438,0.167972914177932,-0.060647801629197,"No",1,"Q9Y2P0",1.13011728824656,0.123125725664721,-0.150401478802288,"No",0
"P05177",0.784,0.0206942854643409,-1.24856495999838,0.0642637907411318,-0.240155155975378,"No",1,"Q9Y575",-1.26848548589927,0.0698696893052832,-0.240155155975378,"No",0
"P22392",0.784,0.017862202593781,-0.636843337193736,-0.956009747934413,-0.374785671735014,"No",1,"Q8NDC4",-0.630824749892942,-0.972827443626867,-0.374785671735014,"No",0
"P60568",0.78,0.0439464620195184,-0.00128286733315719,-0.953206798652337,-0.329908833148469,"No",1,"P07998",-0.0444173408077689,-0.94479795080611,-0.329908833148469,"No",0
"P09238",0.78,0.0866852750607164,-0.880043981867142,-0.0478541805418951,-0.195278317388833,"No",1,"Q6NXE6",-0.904335510167126,0.0222195515099968,-0.150401478802288,"No",0
"O15116",0.779,0.0230048120398516,0.46705522493321,-1.00926578429385,-0.329908833148469,"No",1,"Q9H112",0.485298258125135,-0.995251037883472,-0.329908833148469,"No",0
"Q96EP1",0.779,0.0120676624914838,1.06375676036673,0.479100284488331,-0.240155155975378,"No",1,"P17021",1.05307020903823,0.47349438592418,-0.240155155975378,"No",0
"P12268",0.779,0.0530228505879281,-1.19954001656015,0.0586578921769805,-0.240155155975378,"No",1,"Q16401",-1.20298088493282,0.0306283993562238,-0.285031994561924,"No",0
"Q13547",0.777,0.070341634468635,-0.550806864980619,-0.031036484849441,-0.329908833148469,"No",1,"O95376",-0.487582612879906,-0.000204042746608626,-0.329908833148469,"No",0
"Q05513",0.774,0.0340245503862583,-0.292340108838567,0.277287936178883,-0.329908833148469,"No",1,"O75529",-0.325309205078622,0.268879088332656,-0.329908833148469,"No",0
"O43295",0.773,0.398589969059495,1.27249697296523,1.69838322219125,-0.060647801629197,"No",1,"Q5T1B0",1.05100281478078,1.45452663465067,0.16373639130353,"No",0
"Q9Y6M1",0.773,0.143694033241429,0.167713350134382,0.296908581153413,-0.329908833148469,"No",1,"Q9NVH1",0.172383803910623,0.184790609870386,-0.240155155975378,"No",0
"O94788",0.772,0.161121397500996,-1.50746856618461,0.0698696893052832,-0.0157709630426516,"No",1,"Q5R3I4",-1.57876133117195,-0.0674748255164248,0.0291058755438937,"No",0
"Q8NEX9",0.771,0.314907544816578,-0.948139973108917,-0.50473491352023,0.118859552716984,"No",1,"E5RJM6",-0.796698467929406,-0.263681275261722,-0.0157709630426516,"No",0
"P09104",0.769,0.319371626745106,-1.87112585947531,-0.165578050389073,-0.374785671735014,"No",1,"P13489",-1.6568303545258,-0.0898984197730301,-0.150401478802288,"No",0
"P25774",0.768,0.0670573320390291,-1.08534261174485,-0.454281826442868,-0.195278317388833,"No",1,"Q9UHP6",-1.13252470737744,-0.406631688647581,-0.195278317388833,"No",0
"P02778",0.767,0.0336236274597171,1.08945687642595,-1.1073690091665,-0.329908833148469,"No",1,"Q9NU23",1.10802824836668,-1.13539850198726,-0.329908833148469,"No",0
"Q8TC71",0.765,0.0601314267152528,1.08545969417559,0.125928674946797,-0.150401478802288,"No",1,"Q96JC4",1.077587019889,0.0866873849977372,-0.195278317388833,"No",0
"Q9P1W9",0.765,0.0432332533279811,-0.727766151544715,-0.510340812084381,-0.374785671735014,"No",1,"Q96BM1",-0.767594273580752,-0.493523116391927,-0.374785671735014,"No",0
"Q8N4T4",0.764,0.115107731996937,-0.502367917172524,-0.443070029314565,-0.195278317388833,"No",1,"Q96CX6",-0.469905579896654,-0.342163855159841,-0.240155155975378,"No",0
"P07864",0.764,0.0464996947392533,-1.10017482493887,-0.451478877160792,-0.329908833148469,"No",1,"Q8IYX1",-1.09542229145927,-0.440267080032489,-0.285031994561924,"No",0
"P00338",0.763,0.0642460067840417,-1.05684133904183,-0.451478877160792,-0.285031994561924,"No",1,"Q9NXK8",-1.0140536789309,-0.468296572853246,-0.329908833148469,"No",0
"O00305",0.761,0.0378039114785869,1.28276350269817,0.0754755878694345,-0.285031994561924,"No",1,"Q9HCL3",1.29283241785908,0.111913928536418,-0.285031994561924,"No",0
"Q8TBG4",0.761,0.0700126539598688,-0.742256279048152,0.0166136529458454,-0.285031994561924,"No",1,"Q9NVX7",-0.735070483040491,0.0698696893052832,-0.329908833148469,"No",0
"Q04206",0.761,0.0454425465207121,1.32660831083458,0.16236701561378,-0.105524640215742,"No",1,"Q9BWE0",1.33394007165634,0.207214204126991,-0.105524640215742,"No",0
"P04278",0.76,0.156974207745372,-0.815338147080995,-0.255272427415495,-0.060647801629197,"No",1,"Q8N4F0",-0.817023527580685,-0.0983072676192572,-0.060647801629197,"No",0
"Q06830",0.759,0.0582746301937016,-0.998681951871517,-0.824271131676856,-0.374785671735014,"No",1,"Q03013",-1.02234050456383,-0.771015095317419,-0.374785671735014,"No",0
"Q9NP50",0.759,0.11171808322538,2.14570844331894,-0.762606247471192,-0.374785671735014,"Yes",1,"Q96NC0",2.23886622439736,-0.824271131676856,-0.374785671735014,"Yes",0
"P62993",0.757,0.0456145838625775,-0.33285710021487,-0.773818044599494,-0.374785671735014,"No",1,"Q9UBQ5",-0.378385484068003,-0.771015095317419,-0.374785671735014,"No",0
